대학,학년도,전형구분,전형,모집단위,모집,경쟁률,충원,50%cut,70%cut,canon2026
한양대,2022,학생부종합,학생부종합(일반)전형,경영학부,84,9.9,90,1.84,3.02,
한양대,2022,학생부종합,학생부종합(일반)전형,경제금융학부,33,9.6,29,2.52,3.64,
한양대,2022,학생부종합,학생부종합(일반)전형,관광학부,9,12.9,4,2.30,2.42,
한양대,2022,학생부종합,학생부종합(일반)전형,교육공학과,6,22.3,16,1.65,1.86,
한양대,2022,학생부종합,학생부종합(일반)전형,교육학과,6,26.3,22,1.96,1.98,
한양대,2022,학생부종합,학생부종합(일반)전형,국어교육과,5,22.2,9,1.48,1.77,
한양대,2022,학생부종합,학생부종합(일반)전형,국어국문학과,7,16.9,7,2.07,2.09,
한양대,2022,학생부종합,학생부종합(일반)전형,국제학부,40,13.8,37,3.37,3.74,
한양대,2022,학생부종합,학생부종합(일반)전형,독어독문학과,14,8.9,10,3.26,3.40,
한양대,2022,학생부종합,학생부종합(일반)전형,미디어커뮤니케이션학과,12,24.6,13,1.89,3.34,
한양대,2022,학생부종합,학생부종합(일반)전형,사학과,6,25.3,9,2.76,2.89,
한양대,2022,학생부종합,학생부종합(일반)전형,사회학과,8,21.8,10,1.68,1.81,
한양대,2022,학생부종합,학생부종합(일반)전형,수학교육과,3,14.3,4,1.30,1.30,
한양대,2022,학생부종합,학생부종합(일반)전형,스포츠매니지먼트전공,8,30.6,3,1.77,1.89,
한양대,2022,학생부종합,학생부종합(일반)전형,실내건축디자인학과(인문),15,12.3,9,2.37,2.56,
한양대,2022,학생부종합,학생부종합(일반)전형,연극영화학과(영화전공),7,13.6,4,2.48,2.77,
한양대,2022,학생부종합,학생부종합(일반)전형,영어교육과,7,11.4,12,1.75,1.77,
한양대,2022,학생부종합,학생부종합(일반)전형,영어영문학과,13,13.5,15,3.05,3.18,
한양대,2022,학생부종합,학생부종합(일반)전형,의류학과(인문),12,11.3,15,2.66,3.68,
한양대,2022,학생부종합,학생부종합(일반)전형,의류학과(자연),4,12.5,5,4.01,4.01,
한양대,2022,학생부종합,학생부종합(일반)전형,정보시스템학과(상경),9,12,6,2.43,3.04,
한양대,2022,학생부종합,학생부종합(일반)전형,정책학과,32,13,23,1.64,2.85,
한양대,2022,학생부종합,학생부종합(일반)전형,정치외교학과,9,18.3,9,1.66,2.52,
한양대,2022,학생부종합,학생부종합(일반)전형,중어중문학과,14,12.5,11,3.54,3.56,
한양대,2022,학생부종합,학생부종합(일반)전형,철학과,4,24.8,6,2.97,2.97,
한양대,2022,학생부종합,학생부종합(일반)전형,파이낸스경영학과,15,11.6,38,2.10,2.76,
한양대,2022,학생부종합,학생부종합(일반)전형,행정학과,10,12.2,4,1.64,1.78,
한양대,2023,학생부교과,학생부교과전형,경영학부,32,11.3,142,988,987,
한양대,2023,학생부교과,학생부교과전형,경제금융학부,12,9.0,60,984,981,
한양대,2023,학생부교과,학생부교과전형,관광학부,5,11.6,12,984,979,
한양대,2023,학생부교과,학생부교과전형,교육공학과,3,4.3,9,989,989,
한양대,2023,학생부교과,학생부교과전형,교육학과,3,18.7,36,993,993,
한양대,2023,학생부교과,학생부교과전형,국어교육과,3,5.0,12,981,981,
한양대,2023,학생부교과,학생부교과전형,국어국문학과,4,8.8,18,978,978,
한양대,2023,학생부교과,학생부교과전형,독어독문학과,4,7.5,13,980,980,
한양대,2023,학생부교과,학생부교과전형,미디어커뮤니케이션학과,6,6.8,29,975,967,
한양대,2023,학생부교과,학생부교과전형,사학과,3,5.3,5,990,988,
한양대,2023,학생부교과,학생부교과전형,사회학과,4,10.5,21,984,984,
한양대,2023,학생부교과,학생부교과전형,수학교육과,3,6.3,12,987,985,
한양대,2023,학생부교과,학생부교과전형,실내건축디자인학과(인문),7,4.6,8,981,980,
한양대,2023,학생부교과,학생부교과전형,영어교육과,3,8.3,4,995,992,
한양대,2023,학생부교과,학생부교과전형,영어영문학과,8,9.0,18,984,983,
한양대,2023,학생부교과,학생부교과전형,의류학과(인문),7,5.9,11,984,980,
한양대,2023,학생부교과,학생부교과전형,의류학과(자연),4,8.5,6,982,982,
한양대,2023,학생부교과,학생부교과전형,정보시스템학과(상경),5,4.6,14,998,992,
한양대,2023,학생부교과,학생부교과전형,정책학과,12,5.1,41,986,972,
한양대,2023,학생부교과,학생부교과전형,정치외교학과,4,9.5,19,987,987,
한양대,2023,학생부교과,학생부교과전형,중어중문학과,7,5.0,23,976,975,
한양대,2023,학생부교과,학생부교과전형,철학과,3,8.0,4,986,983,
한양대,2023,학생부교과,학생부교과전형,파이낸스경영학과,6,6.7,33,996,994,
한양대,2023,학생부교과,학생부교과전형,행정학과,5,5.4,8,990,989,
한양대,2023,학생부종합,학생부종합전형,경영학부,84,9.9,93,1.76,1.89,
한양대,2023,학생부종합,학생부종합전형,경제금융학부,33,11.1,32,2.73,3.13,
한양대,2023,학생부종합,학생부종합전형,관광학부,9,10.3,1,1.71,2.67,
한양대,2023,학생부종합,학생부종합전형,교육공학과,6,20.5,11,3.21,3.56,
한양대,2023,학생부종합,학생부종합전형,교육학과,6,26.5,13,1.51,3.17,
한양대,2023,학생부종합,학생부종합전형,국어교육과,5,13.6,6,1.54,1.55,
한양대,2023,학생부종합,학생부종합전형,국어국문학과,7,15.6,7,2.85,2.86,
한양대,2023,학생부종합,학생부종합전형,국제학전공,38,16.5,42,2.95,3.33,
한양대,2023,학생부종합,학생부종합전형,글로벌한국학전공,2,15.5,0,3.59,3.59,
